"","LTLA19CD","CLU"
"1","E06000001","G2"
"2","E06000002","G2"
"3","E06000003","G3"
"4","E06000004","G3"
"5","E06000005","G2"
"6","E06000006","G3"
"7","E06000007","G3"
"8","E06000008","G2"
"9","E06000009","G2"
"10","E06000010","G2"
"11","E06000011","G1"
"12","E06000012","G2"
"13","E06000013","G3"
"14","E06000014","G2"
"15","E06000015","G2"
"16","E06000016","G2"
"17","E06000017","G1"
"18","E06000018","G2"
"19","E06000019","G3"
"20","E06000020","G3"
"21","E06000021","G2"
"22","E06000022","G2"
"23","E06000023","G2"
"24","E06000024","G3"
"25","E06000025","G3"
"26","E06000026","G2"
"27","E06000027","G3"
"28","E06000030","G2"
"29","E06000031","G2"
"30","E06000032","G3"
"31","E06000033","G4"
"32","E06000034","G4"
"33","E06000035","G3"
"34","E06000036","G4"
"35","E06000037","G4"
"36","E06000038","G3"
"37","E06000039","G4"
"38","E06000040","G4"
"39","E06000041","G4"
"40","E06000042","G2"
"41","E06000043","G3"
"42","E06000044","G3"
"43","E06000045","G2"
"44","E06000046","G3"
"45","E06000047","G3"
"46","E06000049","G4"
"47","E06000050","G4"
"48","E06000051","G4"
"49","E06000052","G3"
"50","E06000054","G4"
"51","E06000055","G3"
"52","E06000056","G4"
"53","E06000057","G3"
"54","E06000058","G2"
"55","E06000059","G3"
"56","E07000004","G4"
"57","E07000005","G1"
"58","E07000006","G1"
"59","E07000007","G3"
"60","E07000008","G2"
"61","E07000009","G4"
"62","E07000010","G4"
"63","E07000011","G4"
"64","E07000012","G3"
"65","E07000026","G1"
"66","E07000027","G2"
"67","E07000028","G3"
"68","E07000029","G4"
"69","E07000030","G3"
"70","E07000031","G1"
"71","E07000032","G3"
"72","E07000033","G2"
"73","E07000034","G2"
"74","E07000035","G1"
"75","E07000036","G3"
"76","E07000037","G1"
"77","E07000038","G3"
"78","E07000039","G2"
"79","E07000040","G3"
"80","E07000041","G2"
"81","E07000042","G1"
"82","E07000043","G4"
"83","E07000044","G4"
"84","E07000045","G4"
"85","E07000046","G4"
"86","E07000047","G1"
"87","E07000061","G2"
"88","E07000062","G2"
"89","E07000063","G4"
"90","E07000064","G4"
"91","E07000065","G4"
"92","E07000066","G4"
"93","E07000067","G1"
"94","E07000068","G1"
"95","E07000069","G4"
