"REG_CD","REG_NM","CLU","freq"
"E12000001","North East","G3",6
"E12000001","North East","G4",6
"E12000002","North West","G1",3
"E12000002","North West","G2",6
"E12000002","North West","G3",17
"E12000002","North West","G4",13
"E12000003","Yorkshire and The Humber","G1",2
"E12000003","Yorkshire and The Humber","G2",1
"E12000003","Yorkshire and The Humber","G3",4
"E12000003","Yorkshire and The Humber","G4",14
"E12000004","East Midlands","G1",3
"E12000004","East Midlands","G2",6
"E12000004","East Midlands","G3",19
"E12000004","East Midlands","G4",12
"E12000005","West Midlands","G1",1
"E12000005","West Midlands","G2",8
"E12000005","West Midlands","G3",17
"E12000005","West Midlands","G4",4
"E12000006","East of England","G1",6
"E12000006","East of England","G2",22
"E12000006","East of England","G3",12
"E12000006","East of England","G4",5
"E12000007","London","G1",17
"E12000007","London","G2",15
"E12000007","London","G3",1
"E12000008","South East","G1",11
"E12000008","South East","G2",32
"E12000008","South East","G3",17
"E12000008","South East","G4",7
"E12000009","South West","G1",2
"E12000009","South West","G2",6
"E12000009","South West","G3",13
"E12000009","South West","G4",8
