"","G1","G2","G3","G4","Feature"
"INC_20",0,0,0,0.0464061078560205,"INC_20"
"INC_80",0.190752358960228,0.467173142355229,0.25522603362926,0.190752358960228,"INC_80"
"INC_MED",0.0862722018962262,0,0.377363442371631,0,"INC_MED"
"NO.EDU.PER",0,0,0,0,"NO.EDU.PER"
"NO.ENG.SPEAK.PER",0,0,0,0,"NO.ENG.SPEAK.PER"
"SG_AB",0,0,0,0,"SG_AB"
"SG_C1",0,0.278510176074417,0,0.254218073990788,"SG_C1"
"SG_C2",0,0,0,0,"SG_C2"
"SG_DE",0,0,0,0,"SG_DE"
"T.03",0,0,0,0,"T.03"
"T.B03",0,0,0.25615055324433,0,"T.B03"
"res.den",0,0.0563617018248569,0,0,"res.den"
"V.00",0,0,0,0,"V.00"
"V.01",0.353569674134737,0.0603788811829374,0.0603788811829374,0.180811979863571,"V.01"
"V.02",0,0,0,0,"V.02"
"V.04",0,0.4122470210257,0,0.661458824710137,"V.04"
"hospital.per",0.0784248988366967,0.162116460429102,0,0,"hospital.per"
"park.per",0,0,0,0,"park.per"
"market.per",0,0,0,0,"market.per"
"part_time",0,0,0,0,"part_time"
"full_time",0,0,0,0,"full_time"
"self_employed",0.713284980393061,0.0374324871927802,0.0374324871927802,0.258106037916159,"self_employed"
"H.G",0,0,0,0,"H.G"
"H.F",0,0,0,0,"H.F"
"H.B",0,0,0,0,"H.B"
"E.WH",0,0,0,0,"E.WH"
"E.MIX",0,0,0,0,"E.MIX"
"E.IN",0,0,0,0,"E.IN"
"E.PA",0,0,0,0,"E.PA"
"E.BA",0.0854876221396413,0,0,0.0857342432067073,"E.BA"
"E.CH",0,0,0,0,"E.CH"
"E.O.A",0,0.0692009815107548,0.0187422610807324,0,"E.O.A"
"E.AF",0,0.462199117702966,0,0,"E.AF"
"E.CAR",0.108505731604373,0,0,0.19835056851698,"E.CAR"
"E.O.B",0.116066033839045,0,0,0.056999614832773,"E.O.B"
"E.O",0,0,0,0,"E.O"
"cum.infection.rates",0.249543845500042,0,0,0.010670120115832,"cum.infection.rates"
"cum.mortality.rates",0,0,0.007846179601899,0.199097564990391,"cum.mortality.rates"
